,Unnamed: 0,Genre,Track Name,Track ID,Preview_link
0,0,heavy-metal,The Unknowing,0NDV8dj1wP5sOi07rBYcTy,https://p.scdn.co/mp3-preview/c29b7958c5f883e413a06922abecb7a62e67781e?cid=577c3414ccf54576a289735f10e3ee13
5,5,heavy-metal,1.618,5gvEv8RLtvH4YumbCQp3wQ,https://p.scdn.co/mp3-preview/782066990801fdfcea69a83918f637bac27ad26b?cid=577c3414ccf54576a289735f10e3ee13
11,11,heavy-metal,Bleak,0Nj4eoThAEPpmeSA6zWYEs,https://p.scdn.co/mp3-preview/256a022498c4ef7a71a87c89f77e226bb3951976?cid=577c3414ccf54576a289735f10e3ee13
23,23,heavy-metal,Heathen Horde,71lIvK3ydXu0C5ItgSxRdh,https://p.scdn.co/mp3-preview/3f43b48b3ed14aad561ec0a7671ca7851aa971b2?cid=577c3414ccf54576a289735f10e3ee13
35,35,heavy-metal,Cry Of The Black Birds,1Fj3SwH4PwLL0N1y6e0ojz,https://p.scdn.co/mp3-preview/01829583c63f5a07a6225b66d877a16a416ebe3f?cid=577c3414ccf54576a289735f10e3ee13
37,37,heavy-metal,Hail and Kill,5HkvAtKEPDLmchWYmepqYB,https://p.scdn.co/mp3-preview/a9e8d8f1bddb8b94b4ea9c7d47d36693ffe9d68a?cid=577c3414ccf54576a289735f10e3ee13
51,51,heavy-metal,Oroborus,6WUNfk8ULz9ZdmC9f315Qp,https://p.scdn.co/mp3-preview/ec3d71c51bac44e111ed3d11f9a233bf74f572b8?cid=577c3414ccf54576a289735f10e3ee13
71,71,heavy-metal,Deceiver of the Gods,1HIltntwioJoDMsHBmH0Bl,https://p.scdn.co/mp3-preview/7b04a0fcdc3707fd8d11f0e9b75fa2e3fdda5f48?cid=577c3414ccf54576a289735f10e3ee13
76,76,heavy-metal,We Are The Others,6uKvnGeg6xgzPTH3QSPTB6,https://p.scdn.co/mp3-preview/49d8d3b2f2e6e13b338a8563ce2fd0a1834f2b4b?cid=577c3414ccf54576a289735f10e3ee13
92,92,heavy-metal,Sinne missä aamu sarastaa,0uYv1tNoIHUt6XPjLME4cA,https://p.scdn.co/mp3-preview/59ca9d4952d8da1a5e7fdac13953a630fb675201?cid=577c3414ccf54576a289735f10e3ee13
97,97,heavy-metal,End Of Innocence,53Iy2dlVaD2D8JYySCgNCZ,https://p.scdn.co/mp3-preview/0313401bddcff43176ff7952b09bd3429e28f784?cid=577c3414ccf54576a289735f10e3ee13
119,19,heavy-metal,Ghost Walking,52lWFbQaG8VajS7y41hafF,https://p.scdn.co/mp3-preview/905d4c61d9acc1a92287481994a5ce37db4a71fb?cid=577c3414ccf54576a289735f10e3ee13
124,24,heavy-metal,Autotheist Movement II: Emancipate,0foojKmPteeEhWzYFE5L33,https://p.scdn.co/mp3-preview/a99b799b76ce32b18d49295fc26dcc9f656d2126?cid=577c3414ccf54576a289735f10e3ee13
132,32,heavy-metal,A Debt Owed to the Grave,6ZzzFoQmbl8Posi5z62ZGB,https://p.scdn.co/mp3-preview/c785bc6456cf59e5f2cc6fdd9bf89347878ad689?cid=577c3414ccf54576a289735f10e3ee13
136,36,heavy-metal,Maze of Torment,7t5riom6kdqXkb1VzTlAaH,https://p.scdn.co/mp3-preview/98302203c570d4a5a8fa087822ba5a90b0f64bc9?cid=577c3414ccf54576a289735f10e3ee13
137,37,heavy-metal,Punisher,1EZs2t6k55zUFbhX5jEJkg,https://p.scdn.co/mp3-preview/2b88e7ff27e49e2daf68f54bb62a836a8e978b17?cid=577c3414ccf54576a289735f10e3ee13
153,53,heavy-metal,Pyhä Maa,0891uRCvRHGNrkpnGHQHVZ,https://p.scdn.co/mp3-preview/4ebf40544b76832a18c96b3e69b2691d8708b97f?cid=577c3414ccf54576a289735f10e3ee13
162,62,heavy-metal,In Waves,1yYr4D1KjhhyDD5bZIiFQy,https://p.scdn.co/mp3-preview/10527723593d61eeefc8583ec2d82c9457a010e4?cid=577c3414ccf54576a289735f10e3ee13
164,64,heavy-metal,A Wolf Amongst Ravens,7pwkMTD1dDqHZyCuUko2Aw,https://p.scdn.co/mp3-preview/da5d23a3363685aa9f32c2c50cf5ef11636dac33?cid=577c3414ccf54576a289735f10e3ee13
198,98,heavy-metal,Visions in My Head,1JvMOOYZjXLQCZ5p5b0JJD,https://p.scdn.co/mp3-preview/5ca380acd4ca938213f157430c1848e0a70c1f01?cid=577c3414ccf54576a289735f10e3ee13
203,3,heavy-metal,Élan - Radio Edit,0kHJ1gFEeaGBFRcOE2LQ5m,https://p.scdn.co/mp3-preview/976e1ef9d19a5e671bbebb341588dbc930c2a730?cid=577c3414ccf54576a289735f10e3ee13
204,4,heavy-metal,Desolation,0asHedzNrLSCVDq0SW5gwy,https://p.scdn.co/mp3-preview/5e7c5dc783c62dfee8afccd37a14635f29a3c79e?cid=577c3414ccf54576a289735f10e3ee13
205,5,heavy-metal,Scavenger of Human Sorrow,4IfEHfXLyepX85MFehNHNd,https://p.scdn.co/mp3-preview/5d16924a19c6290b8cd72e2d204c7860fdc03712?cid=577c3414ccf54576a289735f10e3ee13
223,23,heavy-metal,Superheroes,25LDQurnePBGshUGEHAGSk,https://p.scdn.co/mp3-preview/4a01e676fe7fb19e7abdb23474de7529b8680f12?cid=577c3414ccf54576a289735f10e3ee13
230,30,heavy-metal,Black Ninja,6hLrlyozgBK6NPOsURddeW,https://p.scdn.co/mp3-preview/5a09baf1bc7cb65246c36b439aac8bad751c7cbc?cid=577c3414ccf54576a289735f10e3ee13
232,32,heavy-metal,Pull Me Under,5CPXR6lDTvngxtmMZxnWmC,https://p.scdn.co/mp3-preview/4a65db5279bd31980b5986b9f9deef31f80009a8?cid=577c3414ccf54576a289735f10e3ee13
241,41,heavy-metal,Eagleheart,0wC8UdkflVFiR95fL55Uzd,https://p.scdn.co/mp3-preview/9de8f3104cdc4dc1ca1ba63efbf1773bed4a2472?cid=577c3414ccf54576a289735f10e3ee13
244,44,heavy-metal,Blinded By Fear,2pj2VXKSBRTmV8nuiaCKd2,https://p.scdn.co/mp3-preview/1a36db1291e201ffca99f32f565c7e776a40faa5?cid=577c3414ccf54576a289735f10e3ee13
245,45,heavy-metal,Pull Harder on the Strings of Your Martyr,0UXaslpoA81no74N7U56U9,https://p.scdn.co/mp3-preview/d84f697a6cadd14b94c342cd251468f395a1fb2d?cid=577c3414ccf54576a289735f10e3ee13
254,54,heavy-metal,April Rain,62UFmoyvhEqx8GobjdUUry,https://p.scdn.co/mp3-preview/f2c355aba7e090e0ff7d251d140cf05b3eee649e?cid=577c3414ccf54576a289735f10e3ee13
257,57,heavy-metal,Alison Hell,153SwL1d9SfCLWhqIs08we,https://p.scdn.co/mp3-preview/561d74d543cba1e0c503017b7c9d5521306519f0?cid=577c3414ccf54576a289735f10e3ee13
260,60,heavy-metal,Ora Pro Nobis Lucifer,0xwfDhU1YaXmNFnwhToFrT,https://p.scdn.co/mp3-preview/780efd7d64e52c0fcc1a00b19b4542182f5ba7f6?cid=577c3414ccf54576a289735f10e3ee13
265,65,heavy-metal,Kill or Become,3kBV6iIyeT5SCvGcVyg4pJ,https://p.scdn.co/mp3-preview/333c13fe8013e834c88b092bf090d15fabce880e?cid=577c3414ccf54576a289735f10e3ee13
270,70,heavy-metal,Ghost Division,3SfegQ7orQv1bkmRtpcS8Z,https://p.scdn.co/mp3-preview/15d5a308953b9d04aa7d7d073e39435bcbc120c7?cid=577c3414ccf54576a289735f10e3ee13
278,78,heavy-metal,Vain Glory Opera,6EMTWm0HgzsvJiQQOqObEQ,https://p.scdn.co/mp3-preview/bfac5182d428396710770adbb46662909693f5b5?cid=577c3414ccf54576a289735f10e3ee13
286,86,heavy-metal,Flying whales,5OjCsHeByDYEGxMrb1z8KQ,https://p.scdn.co/mp3-preview/abc838fdc0c3f8f3d70e2ffb5f57a2ecae6af8dd?cid=577c3414ccf54576a289735f10e3ee13
287,87,heavy-metal,Autotheist Movement I: Create,1YP2n273NgbrjdaLHGOQ4M,https://p.scdn.co/mp3-preview/3d8d1bd10bb2a0f864381c3566d26cfad3651a52?cid=577c3414ccf54576a289735f10e3ee13
288,88,heavy-metal,Brave This Storm,0CdHnV4vaqNDKskubNQWLb,https://p.scdn.co/mp3-preview/8984223c9d9f34e8d3e03122a0a6594c661088aa?cid=577c3414ccf54576a289735f10e3ee13
295,95,heavy-metal,Bay Of Pigs,5Uz8WiJa82WLdQyhrttbfB,https://p.scdn.co/mp3-preview/abf639c06e2c297d5b1487b49828cf523acc0420?cid=577c3414ccf54576a289735f10e3ee13
300,0,heavy-metal,Messe Noire,0buZkaEEaRLoEfVctp64sb,https://p.scdn.co/mp3-preview/65d3e717d1cd1a2fb5f16d9313df1adcc191b990?cid=577c3414ccf54576a289735f10e3ee13
304,4,heavy-metal,Princess of the Night,2Q6Knqq0R7baKPuo0bgMCU,https://p.scdn.co/mp3-preview/2ce3299890a64af6ba901f852521bb766f624e0e?cid=577c3414ccf54576a289735f10e3ee13
321,21,heavy-metal,The Last in Line,6LUGAFpbYVek4rRY0G9dV0,https://p.scdn.co/mp3-preview/4e12b511c7cc19bd42135710bae98700b152b068?cid=577c3414ccf54576a289735f10e3ee13
325,25,heavy-metal,Immortal Rites,5hmek3mrSYvfSElBsPNbxo,https://p.scdn.co/mp3-preview/7ec8cdf769f99313fb0e6219b93bbdcd0d2a80bd?cid=577c3414ccf54576a289735f10e3ee13
326,26,heavy-metal,Ghost of Perdition,0ppdt8zRZOHIKh4ZDB0Zp9,https://p.scdn.co/mp3-preview/beb827263fb2345bd0cecb3aa6036dc1b9433efb?cid=577c3414ccf54576a289735f10e3ee13
340,40,heavy-metal,The Arcturian Sign,7vyLnYlNrQR9ZVJEZto0qZ,https://p.scdn.co/mp3-preview/9367cd379618dd5ba793fd649b1083b8afc29722?cid=577c3414ccf54576a289735f10e3ee13
341,41,heavy-metal,The Divided Heart,5IJIWsdDqJ5guZpNliKHJQ,https://p.scdn.co/mp3-preview/f3a1ae6ca8ec2bd6436f21f822ed58954d7bffc3?cid=577c3414ccf54576a289735f10e3ee13
342,42,heavy-metal,Over the Wall,5xXeIlEiWIA8xnPa8BkJyj,https://p.scdn.co/mp3-preview/e4407285ac480dccadfda89c5c01203e54b07db7?cid=577c3414ccf54576a289735f10e3ee13
344,44,heavy-metal,What a Horrible Night to Have a Curse,430xmK8Tw4J4VG8PxCqO4I,https://p.scdn.co/mp3-preview/4fdf87f9b01141ea5e8d64cea9b628a5a141b1f0?cid=577c3414ccf54576a289735f10e3ee13
357,57,heavy-metal,Ov Fire And The Void,2Q73wKbwLLcGS404gkTfjH,https://p.scdn.co/mp3-preview/aa7d254769eb71bfe9b910dec7dc4069a0785eba?cid=577c3414ccf54576a289735f10e3ee13
360,60,heavy-metal,Explosia,7f7AkrOCmi5X6Eovd3TiNq,https://p.scdn.co/mp3-preview/24cf2364c773569f0bb9db8cb7209c4200b82596?cid=577c3414ccf54576a289735f10e3ee13
361,61,heavy-metal,Machine,7sxiG6BuAb28nh3qGmbz7L,https://p.scdn.co/mp3-preview/bac4d9dfc7064af02fa5911633ae6ee524e7b5ab?cid=577c3414ccf54576a289735f10e3ee13
364,64,heavy-metal,Breaking the Law,2RaA6kIcvomt77qlIgGhCT,https://p.scdn.co/mp3-preview/2045675c3ff30411c283de17ddcf3952efd9234e?cid=577c3414ccf54576a289735f10e3ee13
371,71,heavy-metal,Where Greater Men Have Fallen,3cn79MOfraSsCHdeOYm65b,https://p.scdn.co/mp3-preview/c30e721a5504073e8c24f5c0e19753a9b8f662d9?cid=577c3414ccf54576a289735f10e3ee13
376,76,heavy-metal,Physical Education,0JGuSgtmWyfuxLGBs2wX0C,https://p.scdn.co/mp3-preview/fd41af3eda82e25a70752119006857d940a1f8af?cid=577c3414ccf54576a289735f10e3ee13
380,80,heavy-metal,The Sentinel - Remastered,7riTER54Xy8xAila5pBfZM,https://p.scdn.co/mp3-preview/cd5ef164bf03bc54a140700f0fe61e6e42a1831a?cid=577c3414ccf54576a289735f10e3ee13
397,97,heavy-metal,Twilight Of The Thunder God,5u3l2TONYacJgmRPQVaF9y,https://p.scdn.co/mp3-preview/9e7ec9ec1ff9939bcc4bee396b286625c1193acf?cid=577c3414ccf54576a289735f10e3ee13
399,99,heavy-metal,Territory,0QRxtcxL31dRAeiUUuENPu,https://p.scdn.co/mp3-preview/45a512c74ba67b0d1ea7d0f7adba618067e428f6?cid=577c3414ccf54576a289735f10e3ee13
404,4,heavy-metal,"I, Dementia",1iDugXsvJ2cb5snhHP3t41,https://p.scdn.co/mp3-preview/3fbf4ef64e22e4056b9276261ac8740e89e38992?cid=577c3414ccf54576a289735f10e3ee13
405,5,heavy-metal,Teleute,4h9uSVP5TLMgfIushabPE2,https://p.scdn.co/mp3-preview/5822e5302b6cc3d8ff4901aa32baed5cc6e57383?cid=577c3414ccf54576a289735f10e3ee13
408,8,heavy-metal,Nymphetamine Fix,6WuqJLVZcyJklg7lIozAO8,https://p.scdn.co/mp3-preview/842ddbf1f9508322162b3b2a078f8f34a5d78553?cid=577c3414ccf54576a289735f10e3ee13
413,13,heavy-metal,Transient Gateways,1sjugVd9Yw0cPM7iiuSaXw,https://p.scdn.co/mp3-preview/caf528f81f27a427900c4e6c37f1d4c01e79dfdb?cid=577c3414ccf54576a289735f10e3ee13
414,14,heavy-metal,Guardians Of Asgaard,2DR9AzDhYeStkHupvU08FC,https://p.scdn.co/mp3-preview/0b63c609781ee0ab77e82733e49776ea01788249?cid=577c3414ccf54576a289735f10e3ee13
416,16,heavy-metal,Follow The Signs,5ZlXDEk3EVZkDx4VMdZzbl,https://p.scdn.co/mp3-preview/dd5b594f0e1a70c9c646930d6ac9a30c63025287?cid=577c3414ccf54576a289735f10e3ee13
421,21,heavy-metal,Electric Eye,3w9zHVKI28aUPZTxq8oDC6,https://p.scdn.co/mp3-preview/2d9fd60b126f331b7751d7744d181f244c904164?cid=577c3414ccf54576a289735f10e3ee13
428,28,heavy-metal,Breathe (Until We Are No More),5kLW9coiEKDAyYWor3VbbQ,https://p.scdn.co/mp3-preview/c5757c5651ddec579f161f2518ea57779ab5fc14?cid=577c3414ccf54576a289735f10e3ee13
429,29,heavy-metal,Neo Seoul,4Us1fYjKY8obaermNIkPYT,https://p.scdn.co/mp3-preview/e94df5f61e2f2cfae2d23eaa8bc22a6bc1751b4b?cid=577c3414ccf54576a289735f10e3ee13
436,36,heavy-metal,Buried Dreams,1nS7bYv66OXdVnztWgC4B7,https://p.scdn.co/mp3-preview/cb96fc366897c87343bb7d4203b8603702398b2d?cid=577c3414ccf54576a289735f10e3ee13
446,46,heavy-metal,Arise,1erRDf98WX0VllciGPYO1H,https://p.scdn.co/mp3-preview/7130ca17f2716b49f21f0ebb0cb4b44d4ef150fc?cid=577c3414ccf54576a289735f10e3ee13
447,47,heavy-metal,Fighting the World,2tjb6V24kf6sDUdEFNf3m9,https://p.scdn.co/mp3-preview/2352e93f56d1d30da39201fe652d156eac378758?cid=577c3414ccf54576a289735f10e3ee13
448,48,heavy-metal,Heartwork,1PBhzfzTAZ5qyIfzqPqign,https://p.scdn.co/mp3-preview/6ea23985df2c991b03d5f58855c8f64191d6ee13?cid=577c3414ccf54576a289735f10e3ee13
453,53,heavy-metal,Spirit Crusher,3sSonVXqDeoEFj2lM7mpYT,https://p.scdn.co/mp3-preview/f7d0446e8bd09bfa620b9f8131a4779460bbd4b7?cid=577c3414ccf54576a289735f10e3ee13
454,54,heavy-metal,Eternal Rains Will Come,0rzMHOoTHTEuIIemojtn5K,https://p.scdn.co/mp3-preview/f7973fff501c4fde41831fe35c0da5678def0a77?cid=577c3414ccf54576a289735f10e3ee13
461,61,heavy-metal,A Greater Foundation,1x1NTUH1QUJEiBnkAMy0Mq,https://p.scdn.co/mp3-preview/bd92a758f22ffec56d3c1177fb120925cf0919e5?cid=577c3414ccf54576a289735f10e3ee13
472,72,heavy-metal,Withstand The Fall Of Time,5nCnSnLtotQ8eB4E189U91,https://p.scdn.co/mp3-preview/d42554b85541742ec0cac92342184a18362d3639?cid=577c3414ccf54576a289735f10e3ee13
473,73,heavy-metal,Moonlight Equilibrium,40gZAlqBJbZ9gZFyAo53Cj,https://p.scdn.co/mp3-preview/b108a6dbbc94f9b8cc6165044e9ef506010a2da7?cid=577c3414ccf54576a289735f10e3ee13
483,83,heavy-metal,In Due Time,1HlOGL1p6wlpOZatJ2NwFk,https://p.scdn.co/mp3-preview/5287be8e73ca9d056e75ed0bf9171a906c04b75f?cid=577c3414ccf54576a289735f10e3ee13
488,88,heavy-metal,Code Of Honor,43xdEiZZrSoNdETUepZpYR,https://p.scdn.co/mp3-preview/4a0b22de60d0a99e6edf6dc4495e53be34bb8359?cid=577c3414ccf54576a289735f10e3ee13
492,92,heavy-metal,I Don't Wanna Be Me - Edit,4LwdLLqeWKSVQ6vdw7Edoy,https://p.scdn.co/mp3-preview/06664c7feec3d4eddaefc83916101b21b7173572?cid=577c3414ccf54576a289735f10e3ee13
