,Genre,Track Name,Track ID,Preview_link
0,heavy-metal,Bleed,5p2sCetlJ6D0KiBljKwmLb,
1,heavy-metal,Master Of Puppets,6NwbeybX6TDtXlpXvnUOZC,
2,heavy-metal,I Could Care Less,7sI7rhcEbNyI78SsNMO2A8,https://p.scdn.co/mp3-preview/6a66e0ddd3c6bcc94e5f62a4c20dc253726a77b9?cid=577c3414ccf54576a289735f10e3ee13
3,heavy-metal,Carrion,0xfWKcNu13xxXQ2GT0P09M,https://p.scdn.co/mp3-preview/d27edbfabd53cf5c0118dd49345f0c83324d2609?cid=577c3414ccf54576a289735f10e3ee13
4,heavy-metal,Children of the Grave,00iV838pAEznn1qLoG8Rxy,
5,heavy-metal,Wasted Years - 1998 Remaster,0ozNndH4mWI1bbcX0jT1X1,https://p.scdn.co/mp3-preview/3b9425bb461c82c1112c8640ef1a3a11cee1d246?cid=577c3414ccf54576a289735f10e3ee13
6,heavy-metal,Are You Dead Yet,7i6UQPAHgqgMGJJK7elUGS,
7,heavy-metal,"I, The Creator",7dMtHZqAZwjB0zMSUlsF4K,
8,heavy-metal,Shadow of Eternal Sin,0iyNAOGge1vkB1iPKb8L7T,
9,heavy-metal,Born in Winter,1rDzUqMRA9VdGCIwzgfeh9,https://p.scdn.co/mp3-preview/8dcb4515c5c3042479fdfd05bbfd0e842619e896?cid=577c3414ccf54576a289735f10e3ee13
10,heavy-metal,The Enemy Inside,1ZR4QAYsiO9zPsGaMPW2OI,https://p.scdn.co/mp3-preview/bd9c05d1f78ea6182ada96ffb99bbe60440b5279?cid=577c3414ccf54576a289735f10e3ee13
11,heavy-metal,The Motherload,6EF0xhfKtQNqUPz2mnE5BD,https://p.scdn.co/mp3-preview/e6a773ed1840f43a38d1b754365dd4b6c8d4f368?cid=577c3414ccf54576a289735f10e3ee13
12,heavy-metal,Sleepwalker,2XZP7EIjlD75VwYcHNePYj,https://p.scdn.co/mp3-preview/6481650a2413e8276a8808cf1ef26f820f0cd79b?cid=577c3414ccf54576a289735f10e3ee13
13,heavy-metal,Only For The Weak,40HsyP1bujEhU2HtdlGRtj,
14,heavy-metal,Future World,3PXTDsPCP2dxGiArERTCng,
15,heavy-metal,Ephemeral (album version),5zueg8AEBHKZY2imocjOUH,
16,heavy-metal,The Number Of The Beast - 1998 Remastered Version,1s4Ie0cT6P73SRSfh3oyGW,
17,heavy-metal,Mikasa,3WERezDCiZxIDfghCax9uJ,https://p.scdn.co/mp3-preview/9e123820bdd9bd2e2d93dcc0886132f3b852d665?cid=577c3414ccf54576a289735f10e3ee13
18,heavy-metal,Spectrum Of Eternity,12JfrP532wY8nqxbT2WoI9,
19,heavy-metal,One Man Army,0abHvyyQu4s82Vzq4z5vLI,https://p.scdn.co/mp3-preview/e20288c6d4e10aaff81a5a2c716b4f269a3f124c?cid=577c3414ccf54576a289735f10e3ee13
20,heavy-metal,Digital World,2KhwmD6OTFJtlq6PVu9mI5,
21,heavy-metal,Walk,7fcfNW0XxTWlwVlftzfDOR,https://p.scdn.co/mp3-preview/14e66cb261d6027f14d31e7d247b2281b9e79e71?cid=577c3414ccf54576a289735f10e3ee13
22,heavy-metal,Rational gaze,27Sb5HdiMh9k1z5oPI9r3B,
23,heavy-metal,Of Matter – Proxy,6oNPnS3cxhRNAwGCoX4m9R,
24,heavy-metal,Ace of Spades,3AVZaAbDvR6rs2NN4n0aAF,
25,heavy-metal,Into the Everblack,3lQMzffAEj7NnJLL6T0Y62,https://p.scdn.co/mp3-preview/11da6911c85dacddc2bf6f7439b570c9c5b2c360?cid=577c3414ccf54576a289735f10e3ee13
26,heavy-metal,Creeping Death,3LM41UarpHPJkUZ7rVbbGx,
27,heavy-metal,Warrior Without a War,0eP2ovLkpUu4opXgGNtwoE,https://p.scdn.co/mp3-preview/2fd36ac73af3ccb03886efa6914816c37bcee816?cid=577c3414ccf54576a289735f10e3ee13
