,Unnamed: 0,Genre,Track Name,Track ID,Preview_link
5,5,jazz,Watermelon Man,2zQl59dZMzwhrmeSBEgiXY,https://p.scdn.co/mp3-preview/1a7bccc5edd7e8e0c4309e50821e0601634643e5?cid=577c3414ccf54576a289735f10e3ee13
9,9,jazz,Just a Little Lovin',7LohM56jH2aS3HZkwTKDFs,https://p.scdn.co/mp3-preview/b9b93b500f447420efb19a957d8d3db19bddcbe7?cid=577c3414ccf54576a289735f10e3ee13
13,13,jazz,Django's Tiger,3MC79TErHHp9FODo2ErBQ1,https://p.scdn.co/mp3-preview/63bb0a996c19c660faafbfe287bed5835c3e702b?cid=577c3414ccf54576a289735f10e3ee13
24,24,jazz,Just a Gigolo,3laCo1tj2egTZLFDEZjbMy,https://p.scdn.co/mp3-preview/56652e3bf21449c4911169a82191f22b18e20200?cid=577c3414ccf54576a289735f10e3ee13
25,25,jazz,"Bess You Is My Woman (From ""Porgy and Bess""",2fJQmRWmlyqRxm8Pwdw7th,https://p.scdn.co/mp3-preview/3d0cbefcb3feae2caf28376e973f9879eecf93e7?cid=577c3414ccf54576a289735f10e3ee13
33,33,jazz,Lover Man - Remastered,2IphXOYrkkW52Cj6NCW9a7,https://p.scdn.co/mp3-preview/d1d05cfc61fcfeefe07faf66f8ed437bf9319a8b?cid=577c3414ccf54576a289735f10e3ee13
36,36,jazz,Vamp,4XUkIVq6olEHMIQEWpBn3t,https://p.scdn.co/mp3-preview/85d66f15ac0e654b8df8d3e7f02f7c6e1e747c4f?cid=577c3414ccf54576a289735f10e3ee13
45,45,jazz,Birdland,7nJc3vqcU2em6FH0c3Geox,https://p.scdn.co/mp3-preview/728a36478ff07e779766ae70288378da5fd81196?cid=577c3414ccf54576a289735f10e3ee13
48,48,jazz,God Bless the Child,7DUGRxCf9NFJffb5Eei8Ar,https://p.scdn.co/mp3-preview/edd2474d25b587da12ed4b8ff30117246b061aaa?cid=577c3414ccf54576a289735f10e3ee13
52,52,jazz,Goodbye Pork Pie Hat,3PJMsxg6rz9FOo6xNiASXz,https://p.scdn.co/mp3-preview/14a67d58b7674d1ee346abe3a40df155946e93ab?cid=577c3414ccf54576a289735f10e3ee13
53,53,jazz,My Girl,2ulQ2Rx5fi0R8c0M3ETpj7,https://p.scdn.co/mp3-preview/5b64dfd1c0fef175791993dca57e4fb620be2d02?cid=577c3414ccf54576a289735f10e3ee13
55,55,jazz,Unsquare Dance,2jfiDZCg4UjLJEFktdcAV4,https://p.scdn.co/mp3-preview/b073c712097788ff746b6ebf5791266447f70658?cid=577c3414ccf54576a289735f10e3ee13
63,63,jazz,Lying in the Hay (Foxtrott),2sqqUTxbQ5YXMy1VRkuiZ3,https://p.scdn.co/mp3-preview/509ade4b6c55001128471c90f5915f68bfa8c30a?cid=577c3414ccf54576a289735f10e3ee13
66,66,jazz,Boogie Stop Shuffle,11cHTwgw5L3qrNcv5Ugv0O,https://p.scdn.co/mp3-preview/6e813a92fc7309263eee1edebc6c0a13961ac961?cid=577c3414ccf54576a289735f10e3ee13
70,70,jazz,Everything in Its Right Place,1QxmKMggKPykokcwBYvjso,https://p.scdn.co/mp3-preview/cffedab565da9d3e820b92942ea87fc08d63de18?cid=577c3414ccf54576a289735f10e3ee13
72,72,jazz,Fables of Faubus,5RWzKLxXVzkJQ702yWfp1w,https://p.scdn.co/mp3-preview/2cbe11348e702579b2ea0bc0716988bb16166d44?cid=577c3414ccf54576a289735f10e3ee13
82,82,jazz,Chameleon,4Ce66JznW8QbeyTdSzdGwR,https://p.scdn.co/mp3-preview/0b9765a445727d3bee6bdf6a0fb4bad59ed6fcf2?cid=577c3414ccf54576a289735f10e3ee13
87,87,jazz,Taxi War- Dance,5vfQK8G9uaH0RJiG0yaMrX,https://p.scdn.co/mp3-preview/307133a1a7f1f07ddfce6260455e164024ba504b?cid=577c3414ccf54576a289735f10e3ee13
89,89,jazz,Aguanile Bonko,2YQD4iZibMN2lwy7OfAaDe,https://p.scdn.co/mp3-preview/84a106177f156160960097353433febc7fef35ca?cid=577c3414ccf54576a289735f10e3ee13
94,94,jazz,Sweet Georgia Bright,36Xkbt31EALc54E2DUAAjr,https://p.scdn.co/mp3-preview/e75388065abf50b83620e2cb176c047a56fc55c0?cid=577c3414ccf54576a289735f10e3ee13
95,95,jazz,Sweet Fire,4UbVqawutexP8Ymbw7ieRE,https://p.scdn.co/mp3-preview/ad715ac3b42bd6402cb16c71de72325b3e2cf73e?cid=577c3414ccf54576a289735f10e3ee13
101,1,jazz,Minor Swing,3qPQxLOF4cAi7rvHUn4cqE,https://p.scdn.co/mp3-preview/e984aafe99ecd22f0b2447e3b04c2d8b1c68a14b?cid=577c3414ccf54576a289735f10e3ee13
102,2,jazz,Rhapsody in Blue,7oB0QBEnGRIJjvlDc8YnM6,https://p.scdn.co/mp3-preview/2015705f5f9ae9ad322562bc3d8c7e32eaacbacf?cid=577c3414ccf54576a289735f10e3ee13
114,14,jazz,Maple Leaf Rag,5cO1oGqX8S2w96CwISPlLE,https://p.scdn.co/mp3-preview/688003c434a6b9e7d55477577db5638ecd081b8d?cid=577c3414ccf54576a289735f10e3ee13
115,15,jazz,Simplicity,0AEBs3sZ492afceldzJzF0,https://p.scdn.co/mp3-preview/0a785347998bc576bea70e9c651d1b4b9da21f89?cid=577c3414ccf54576a289735f10e3ee13
116,16,jazz,Blue Ballad,6f6OQJv9qjqyJq9NHin45n,https://p.scdn.co/mp3-preview/8cd094238997fb3f6e5196ba8cda8346b886a922?cid=577c3414ccf54576a289735f10e3ee13
117,17,jazz,Stella By Starlight,4zxd4tiXPlWMqoJltbVTbE,https://p.scdn.co/mp3-preview/a4430030bca4c02cf569b429f8776e70e6aafacb?cid=577c3414ccf54576a289735f10e3ee13
118,18,jazz,When It's Sleepytime Down South,55GovtDfcoF4YyitVEcbg5,https://p.scdn.co/mp3-preview/0a19a25eee23e49505c4ddf608c77082b975a3b5?cid=577c3414ccf54576a289735f10e3ee13
120,20,jazz,Prelude,4PfdoGUe3sNDtrIZmeTIOF,https://p.scdn.co/mp3-preview/3f23349b4ba178a76f6a48410304136d12310098?cid=577c3414ccf54576a289735f10e3ee13
122,22,jazz,Interlude No. 3,0wvbb2MxlokwqSvbeoOOHv,https://p.scdn.co/mp3-preview/dcd514ae7d7a2715149e6d9cd927c3a0c6a4f93c?cid=577c3414ccf54576a289735f10e3ee13
123,23,jazz,Goodbye,33epO6drRAdk6jWlwBkqC2,https://p.scdn.co/mp3-preview/459e29c6a12650e499d2852dab1455a8efeff426?cid=577c3414ccf54576a289735f10e3ee13
124,24,jazz,Easy Living,0XsbCr34semDxq0ZX84BCh,https://p.scdn.co/mp3-preview/f2df591d7d84eefd89262b5f18805cbdb3203148?cid=577c3414ccf54576a289735f10e3ee13
132,32,jazz,Ruby My Dear,1czzmAtPTw287TyMQEfCfg,https://p.scdn.co/mp3-preview/7a47ef0e9079d82fd6530dc7d97faf1a5df987d7?cid=577c3414ccf54576a289735f10e3ee13
133,33,jazz,Mean to Me,6Q7U4bTozx5kfLjWT81u7P,https://p.scdn.co/mp3-preview/45635ddb72d7a6c8c9e453251c99e1ad35e06892?cid=577c3414ccf54576a289735f10e3ee13
136,36,jazz,Seven Eight Nine (part 1),5lBspfpAWdXE1dgxu6LP0s,https://p.scdn.co/mp3-preview/9de012cd0488b127927d1eb7c9f6debbf69051e6?cid=577c3414ccf54576a289735f10e3ee13
137,37,jazz,Praise The Lord,3Ck8xIzxTvJqN42l7TsOa1,https://p.scdn.co/mp3-preview/a3b5f20223ac709f5210f08a253f0223b91ad998?cid=577c3414ccf54576a289735f10e3ee13
138,38,jazz,Black Coffee,56IQUfsUskt9VHe6YM6kue,https://p.scdn.co/mp3-preview/be920a59857d796cb19d76f475c5533042897a74?cid=577c3414ccf54576a289735f10e3ee13
139,39,jazz,Night and Day (Live),0jIjMIGol799k7v3kmD0ZS,https://p.scdn.co/mp3-preview/a8b828fa3deee962861c9b08b7d75f0fbbb0df7a?cid=577c3414ccf54576a289735f10e3ee13
150,50,jazz,Clarinet Marmalade,5H4bQ14RjOVM4eKtaIpn3B,https://p.scdn.co/mp3-preview/514723586ea2daef1daa90cee153fc6f8d496ff7?cid=577c3414ccf54576a289735f10e3ee13
156,56,jazz,Namely You,16QhvfPMBLpo7sFqOqTff3,https://p.scdn.co/mp3-preview/e33d6550f2a960dc6fb7f279727b20217752af57?cid=577c3414ccf54576a289735f10e3ee13
157,57,jazz,Shhh / Peaceful - LP Mix,267lVml7gJ9xefwgO6E2Ag,https://p.scdn.co/mp3-preview/3282562565c083171ee3e663fb7f5bee6c3370b4?cid=577c3414ccf54576a289735f10e3ee13
159,59,jazz,Body and Soul,7IAFc5iQti2tzob7Uo7N1Y,https://p.scdn.co/mp3-preview/073b7575dbe89e84f713b819919e6d01bc39f39c?cid=577c3414ccf54576a289735f10e3ee13
160,60,jazz,Karl-Bertil Jonssons Julafton,0b9jIWGchhRtF9XTF9labn,https://p.scdn.co/mp3-preview/7cc7ad7e39b15ee5216e77c0e2c20aecdb75b425?cid=577c3414ccf54576a289735f10e3ee13
161,61,jazz,I Let a Song Go out of My Heart,1DgQyMa4f1myDWa21BwgVq,https://p.scdn.co/mp3-preview/1c3c943421339cb3a198c8bf3d200eaed990113a?cid=577c3414ccf54576a289735f10e3ee13
164,64,jazz,Devil May Care,46QlGPMuZ1FHgrIjHLx8o9,https://p.scdn.co/mp3-preview/e1d05f6fa61fed931f6011e93eb8dc2f3ee7140e?cid=577c3414ccf54576a289735f10e3ee13
165,65,jazz,Milestones,1xicvSO4CJ2ymqYgpk7DFh,https://p.scdn.co/mp3-preview/0c9b132c4e7b468980489d844f1ff5648df141b4?cid=577c3414ccf54576a289735f10e3ee13
171,71,jazz,All of Me,79fXdfpOPGaXO1gfdq2onl,https://p.scdn.co/mp3-preview/70f8b909a8c90aaaace37157cf664475d338ee95?cid=577c3414ccf54576a289735f10e3ee13
172,72,jazz,Blue in Green,0aWMVrwxPNYkKmFthzmpRi,https://p.scdn.co/mp3-preview/bf085f7b43b6be637374a858eeab87741d9454e0?cid=577c3414ccf54576a289735f10e3ee13
178,78,jazz,Blowing in the Wind,1GAJG25Z6KsqrSw6Bm3u7y,https://p.scdn.co/mp3-preview/48bed4a7309e7a6f4eea5391c8fcb2edece36cb7?cid=577c3414ccf54576a289735f10e3ee13
180,80,jazz,Kitten on the Keys,1SH49GqeyitOd9C4kk9dTM,https://p.scdn.co/mp3-preview/dddf3eb66e51ba2a508ff71d08fcbe28483b8a3a?cid=577c3414ccf54576a289735f10e3ee13
183,83,jazz,Nobody Knows You When You're Down and Out,5nrpIB2dVUvhRUs5R9YJ3W,https://p.scdn.co/mp3-preview/80d94322f7f0c4e0cc7da8e84d4225572c00042a?cid=577c3414ccf54576a289735f10e3ee13
186,86,jazz,Don't Be That Way,7Bto5shUBaNnD3YDv1rnXv,https://p.scdn.co/mp3-preview/dc898561ebf1a136c445c33e2d61455df2bd7857?cid=577c3414ccf54576a289735f10e3ee13
187,87,jazz,Angel Eyes - Studio,4d3XHYFFuYYzxWr2cJ6yQl,https://p.scdn.co/mp3-preview/10e213fc96d2f614e4275ed2063d5285160f619b?cid=577c3414ccf54576a289735f10e3ee13
189,89,jazz,Koop Island Blues,75sAWnVBYaaYs1mWbB05Qg,https://p.scdn.co/mp3-preview/8791a9090e662fb09a72029ea2f10a9c819ca4d5?cid=577c3414ccf54576a289735f10e3ee13
191,91,jazz,Giant Steps,18KSLe1ScEmgFt1XnyRSCV,https://p.scdn.co/mp3-preview/204bf36255dcf52f51ca3c970d48291f6cf20f05?cid=577c3414ccf54576a289735f10e3ee13
194,94,jazz,Your Great Name,5xS7JHjqPYvPSXYJxCRUij,https://p.scdn.co/mp3-preview/9a19ed9b17cb0755818eb750eaff1241da45708a?cid=577c3414ccf54576a289735f10e3ee13
196,96,jazz,After You've Gone,6NTrpCqxtHMp3fnEsGIcky,https://p.scdn.co/mp3-preview/4768a38bde048cd818a70cac91a7a4c60bf7e606?cid=577c3414ccf54576a289735f10e3ee13
