,Unnamed: 0,Genre,Track Name,Track ID,Preview_link
0,0,pop,False Alarm,23xqdYb5ViDUx0BOL2mGq6,https://p.scdn.co/mp3-preview/c1ab5515139265ead72f7a234137790ab22270a4?cid=577c3414ccf54576a289735f10e3ee13
1,1,pop,New Light,40FLJc17FMZaPmCQEEZgB0,https://p.scdn.co/mp3-preview/213ffa7ca413185c59a8811102048c07cd74494d?cid=577c3414ccf54576a289735f10e3ee13
5,5,pop,Say My Name,0YammaEkYSeo9vQYZ1OwS6,https://p.scdn.co/mp3-preview/89e0ed2f21273e777832d67de4851c8137ee5c8d?cid=577c3414ccf54576a289735f10e3ee13
11,11,pop,We Don't Care,6THwtgImf1ZAR2w3iknjeS,https://p.scdn.co/mp3-preview/893bca5eb7f90017390e26a88c584edd79492539?cid=577c3414ccf54576a289735f10e3ee13
14,14,pop,Location,152lZdxL1OR0ZMW6KquMif,https://p.scdn.co/mp3-preview/d50dfb78af7cb29f6363ba1a0d2cbdd707ee137c?cid=577c3414ccf54576a289735f10e3ee13
15,15,pop,Superheroes,37sINbJZcFdHFAsVNsPq1i,https://p.scdn.co/mp3-preview/900dc33cad986d311dfbe7e87d7da0efdb921f98?cid=577c3414ccf54576a289735f10e3ee13
17,17,pop,Dang! (feat. Anderson .Paak),5iUQMwxUPdJBFeGkePtM66,https://p.scdn.co/mp3-preview/3e1d6ac23099c42068fff3f52c3fa8ddad86d36f?cid=577c3414ccf54576a289735f10e3ee13
27,27,pop,Whenever (feat. Conor Maynard),3DGar7krWlmrXRFHBcQF6z,https://p.scdn.co/mp3-preview/96969a8f4009660f5bf7eed23c70d1a16e8ab504?cid=577c3414ccf54576a289735f10e3ee13
30,30,pop,Ride,2Z8WuEywRWYTKe1NybPQEW,https://p.scdn.co/mp3-preview/26fc2318d6ebad09ae7aed7adfce2b28413cea7e?cid=577c3414ccf54576a289735f10e3ee13
33,33,pop,2U (feat. Justin Bieber),265zv3IDBskSIkvgPOSiGQ,https://p.scdn.co/mp3-preview/1aecc1b73681351db18eb7ff9dc1c3174dade14b?cid=577c3414ccf54576a289735f10e3ee13
34,34,pop,Lemon (feat. Drake) - Drake Remix,739vCwA3EpBSkk3uDsI2wB,https://p.scdn.co/mp3-preview/050235751513a5f9ba890e9d46510bdd709c841a?cid=577c3414ccf54576a289735f10e3ee13
37,37,pop,Capsize,2XMTqoHHSH0lvuXrvIEdco,https://p.scdn.co/mp3-preview/2be57f72946d01c51b46d373cb7b17f1bb994a76?cid=577c3414ccf54576a289735f10e3ee13
39,39,pop,Down (feat. Gucci Mane),7fSPXg9avmHAkLopHA7YFe,https://p.scdn.co/mp3-preview/84f097dc41716ce269d9d06599e6cabfdd3d0aae?cid=577c3414ccf54576a289735f10e3ee13
