,Track_ID,Track_Name,Track_Artist,Preview_URL
0,7IJdhXX43QDoTNQeBRxZHu,Ladies Night,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3VNITwohbvU5Wuy5PC6dsI'}, 'href': 'https://api.spotify.com/v1/artists/3VNITwohbvU5Wuy5PC6dsI', 'id': '3VNITwohbvU5Wuy5PC6dsI', 'name': 'Kool & The Gang', 'type': 'artist', 'uri': 'spotify:artist:3VNITwohbvU5Wuy5PC6dsI'}]",https://p.scdn.co/mp3-preview/b6b8924a097ffcad9190b2a712ba25bb28788977?cid=57daa17ab8e544dcab420c4b154c56d9
3,3WMbD1OyfKuwWDWMNbPQ4g,Daddy Cool,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/54R6Y0I7jGUCveDTtI21nb'}, 'href': 'https://api.spotify.com/v1/artists/54R6Y0I7jGUCveDTtI21nb', 'id': '54R6Y0I7jGUCveDTtI21nb', 'name': 'Boney M.', 'type': 'artist', 'uri': 'spotify:artist:54R6Y0I7jGUCveDTtI21nb'}]",https://p.scdn.co/mp3-preview/191db1a9fda3057414633281ec1107140747c2d0?cid=57daa17ab8e544dcab420c4b154c56d9
4,38iU2jg98IZZEIJPrP7aWD,Till the World Ends,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4'}, 'href': 'https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4', 'id': '26dSoYclwsYLMAKD3tpOr4', 'name': 'Britney Spears', 'type': 'artist', 'uri': 'spotify:artist:26dSoYclwsYLMAKD3tpOr4'}]",https://p.scdn.co/mp3-preview/fd017ae5c0a60cff3d5f5b4d37c4e8617c93b11f?cid=57daa17ab8e544dcab420c4b154c56d9
6,6UjlpJhUqOQqv0hrb38IDI,Best of My Love,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/64CuUOOirKmdAYLQSfaOyr'}, 'href': 'https://api.spotify.com/v1/artists/64CuUOOirKmdAYLQSfaOyr', 'id': '64CuUOOirKmdAYLQSfaOyr', 'name': 'The Emotions', 'type': 'artist', 'uri': 'spotify:artist:64CuUOOirKmdAYLQSfaOyr'}]",https://p.scdn.co/mp3-preview/e20c1aaa3a9cd0654d3315b31cf9d7079f244d63?cid=57daa17ab8e544dcab420c4b154c56d9
10,0fYbhMj96zG9fpUK10e8kB,Don't Leave Me This Way,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/438JBZR1AR0l04AzcYW9gy'}, 'href': 'https://api.spotify.com/v1/artists/438JBZR1AR0l04AzcYW9gy', 'id': '438JBZR1AR0l04AzcYW9gy', 'name': 'Harold Melvin & The Blue Notes', 'type': 'artist', 'uri': 'spotify:artist:438JBZR1AR0l04AzcYW9gy'}]",https://p.scdn.co/mp3-preview/f53364e19d81973ad8cda01985cabf203ce1abf5?cid=57daa17ab8e544dcab420c4b154c56d9
11,3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6MDME20pz9RveH9rEXvrOM'}, 'href': 'https://api.spotify.com/v1/artists/6MDME20pz9RveH9rEXvrOM', 'id': '6MDME20pz9RveH9rEXvrOM', 'name': 'Clean Bandit', 'type': 'artist', 'uri': 'spotify:artist:6MDME20pz9RveH9rEXvrOM'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4ScCswdRlyA23odg9thgIO'}, 'href': 'https://api.spotify.com/v1/artists/4ScCswdRlyA23odg9thgIO', 'id': '4ScCswdRlyA23odg9thgIO', 'name': 'Jess Glynne', 'type': 'artist', 'uri': 'spotify:artist:4ScCswdRlyA23odg9thgIO'}]",https://p.scdn.co/mp3-preview/a9d9d2d68603e22dd2f04693c8e29e4f5823e09f?cid=57daa17ab8e544dcab420c4b154c56d9
13,7KPr0YxECy4Q1k2F17Sa0Q,Memories (feat. Kid Cudi),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu'}, 'href': 'https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu', 'id': '0fA0VVWsXO9YnASrzqfmYu', 'name': 'Kid Cudi', 'type': 'artist', 'uri': 'spotify:artist:0fA0VVWsXO9YnASrzqfmYu'}]",https://p.scdn.co/mp3-preview/9364e08b3d1452c0afd107b6f21e9f9140450812?cid=57daa17ab8e544dcab420c4b154c56d9
16,3VZQshi4COChhXaz7cLP02,I Love It (feat. Charli XCX) - Original Version,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1VBflYyxBhnDc9uVib98rw'}, 'href': 'https://api.spotify.com/v1/artists/1VBflYyxBhnDc9uVib98rw', 'id': '1VBflYyxBhnDc9uVib98rw', 'name': 'Icona Pop', 'type': 'artist', 'uri': 'spotify:artist:1VBflYyxBhnDc9uVib98rw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5'}, 'href': 'https://api.spotify.com/v1/artists/25uiPmTg16RbhZWAqwLBy5', 'id': '25uiPmTg16RbhZWAqwLBy5', 'name': 'Charli XCX', 'type': 'artist', 'uri': 'spotify:artist:25uiPmTg16RbhZWAqwLBy5'}]",https://p.scdn.co/mp3-preview/53d0fca6eb2c0180aeed0d6db7703d3f3d2c1c77?cid=57daa17ab8e544dcab420c4b154c56d9
18,4d2hD63oUGU3s7L66JD0BE,Dance Again,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR'}, 'href': 'https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR', 'id': '2DlGxzQSjYe5N6G9nkYghR', 'name': 'Jennifer Lopez', 'type': 'artist', 'uri': 'spotify:artist:2DlGxzQSjYe5N6G9nkYghR'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg'}, 'href': 'https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg', 'id': '0TnOYISbd1XYRBk9myaseg', 'name': 'Pitbull', 'type': 'artist', 'uri': 'spotify:artist:0TnOYISbd1XYRBk9myaseg'}]",https://p.scdn.co/mp3-preview/2d288b4a7117b800a3bf561a3686f39fbe17a40a?cid=57daa17ab8e544dcab420c4b154c56d9
19,09ISyLOPeuno7kKlzdbZuq,Stamp on the Ground - Radio Edit,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5nkYRuiIHg2xXHFC8bfosJ'}, 'href': 'https://api.spotify.com/v1/artists/5nkYRuiIHg2xXHFC8bfosJ', 'id': '5nkYRuiIHg2xXHFC8bfosJ', 'name': 'ItaloBrothers', 'type': 'artist', 'uri': 'spotify:artist:5nkYRuiIHg2xXHFC8bfosJ'}]",https://p.scdn.co/mp3-preview/d8be08688f7e474791a05e95eb75d5530719d8f0?cid=57daa17ab8e544dcab420c4b154c56d9
