,Track_ID,Track_Name,Track_Artist,Preview_URL
0,1WIZiOuNO3woKfdlSK2gNn,Transportin',"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7'}, 'href': 'https://api.spotify.com/v1/artists/46SHBwWsqBkxI7EeeBEQG7', 'id': '46SHBwWsqBkxI7EeeBEQG7', 'name': 'Kodak Black', 'type': 'artist', 'uri': 'spotify:artist:46SHBwWsqBkxI7EeeBEQG7'}]",https://p.scdn.co/mp3-preview/dc943e9eeed11c3ece97cbbc26c9b00fdf0367b8?cid=57daa17ab8e544dcab420c4b154c56d9
2,3ZLyt2ndLFBh148XRYjYYZ,All We Got (feat. Kanye West & Chicago Children's Choir),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1anyVhU62p31KFi8MEzkbf'}, 'href': 'https://api.spotify.com/v1/artists/1anyVhU62p31KFi8MEzkbf', 'id': '1anyVhU62p31KFi8MEzkbf', 'name': 'Chance the Rapper', 'type': 'artist', 'uri': 'spotify:artist:1anyVhU62p31KFi8MEzkbf'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6e64nPdtxyICfh90RJukpg'}, 'href': 'https://api.spotify.com/v1/artists/6e64nPdtxyICfh90RJukpg', 'id': '6e64nPdtxyICfh90RJukpg', 'name': ""Chicago Children's Choir"", 'type': 'artist', 'uri': 'spotify:artist:6e64nPdtxyICfh90RJukpg'}]",https://p.scdn.co/mp3-preview/c923136e7435cf39491ed17b031043d0bf811fe2?cid=57daa17ab8e544dcab420c4b154c56d9
3,6BbINUfGabVyiNFJpQXn3x,Wicked,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i'}, 'href': 'https://api.spotify.com/v1/artists/1RyvyyTE3xzB2ZywiAwp0i', 'id': '1RyvyyTE3xzB2ZywiAwp0i', 'name': 'Future', 'type': 'artist', 'uri': 'spotify:artist:1RyvyyTE3xzB2ZywiAwp0i'}]",https://p.scdn.co/mp3-preview/f4e084bf3a27dc532efcceb718b210868134e588?cid=57daa17ab8e544dcab420c4b154c56d9
8,26OhjtaTamFocE08t83ml6,"Psycho, Pt. 2","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1z7b1Pr1rSlvWRzsW3HOrS'}, 'href': 'https://api.spotify.com/v1/artists/1z7b1Pr1rSlvWRzsW3HOrS', 'id': '1z7b1Pr1rSlvWRzsW3HOrS', 'name': 'Russ', 'type': 'artist', 'uri': 'spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS'}]",https://p.scdn.co/mp3-preview/7b98b3b81be1ec4bfed0eabde8d5d69d0fd4800b?cid=57daa17ab8e544dcab420c4b154c56d9
9,01Ch5LzVStxCFPKkT1xg6k,sweet sweet,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'}, 'href': 'https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY', 'id': '0Y5tJX1MQlPlqiwlOH1tJY', 'name': 'Travis Scott', 'type': 'artist', 'uri': 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY'}]",https://p.scdn.co/mp3-preview/ddb0e154b1cb73466bca680aeded775d9b9a19bb?cid=57daa17ab8e544dcab420c4b154c56d9
13,6p8NuHm8uCGnn2Dtbtf7zE,Slippery (feat. Gucci Mane),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6oMuImdp5ZcFhWP0ESe6mG'}, 'href': 'https://api.spotify.com/v1/artists/6oMuImdp5ZcFhWP0ESe6mG', 'id': '6oMuImdp5ZcFhWP0ESe6mG', 'name': 'Migos', 'type': 'artist', 'uri': 'spotify:artist:6oMuImdp5ZcFhWP0ESe6mG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo'}, 'href': 'https://api.spotify.com/v1/artists/13y7CgLHjMVRMDqxdx0Xdo', 'id': '13y7CgLHjMVRMDqxdx0Xdo', 'name': 'Gucci Mane', 'type': 'artist', 'uri': 'spotify:artist:13y7CgLHjMVRMDqxdx0Xdo'}]",https://p.scdn.co/mp3-preview/25bf4c7c13f59a0bd7f0ce023a524892a7216872?cid=57daa17ab8e544dcab420c4b154c56d9
14,4hBP52kkuHWfdVJ2a1o2aK,I'm Sprung (feat. Kool Savas) - German Remix,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3aQeKQSyrW4qWr35idm0cy'}, 'href': 'https://api.spotify.com/v1/artists/3aQeKQSyrW4qWr35idm0cy', 'id': '3aQeKQSyrW4qWr35idm0cy', 'name': 'T-Pain', 'type': 'artist', 'uri': 'spotify:artist:3aQeKQSyrW4qWr35idm0cy'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1SUu1Bi7ev9HbOzyVC77qD'}, 'href': 'https://api.spotify.com/v1/artists/1SUu1Bi7ev9HbOzyVC77qD', 'id': '1SUu1Bi7ev9HbOzyVC77qD', 'name': 'Kool Savas', 'type': 'artist', 'uri': 'spotify:artist:1SUu1Bi7ev9HbOzyVC77qD'}]",https://p.scdn.co/mp3-preview/aeb9009c05c850e7a317c31c36fc64644fdda586?cid=57daa17ab8e544dcab420c4b154c56d9
15,3T790QTg0ebUUk5tCRbtbN,Crumblin' Erb,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1G9G7WwrXka3Z1r7aIDjI7'}, 'href': 'https://api.spotify.com/v1/artists/1G9G7WwrXka3Z1r7aIDjI7', 'id': '1G9G7WwrXka3Z1r7aIDjI7', 'name': 'OutKast', 'type': 'artist', 'uri': 'spotify:artist:1G9G7WwrXka3Z1r7aIDjI7'}]",https://p.scdn.co/mp3-preview/8e7ff6d4aaafa543db69eca74dc210c7e5a4236a?cid=57daa17ab8e544dcab420c4b154c56d9
16,3ABG1UQTk0eLYUAeWkmfMi,Shimmy Shimmy Ya,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/50NoVNy9GU1lCrDV8iGpyu'}, 'href': 'https://api.spotify.com/v1/artists/50NoVNy9GU1lCrDV8iGpyu', 'id': '50NoVNy9GU1lCrDV8iGpyu', 'name': ""Ol' Dirty Bastard"", 'type': 'artist', 'uri': 'spotify:artist:50NoVNy9GU1lCrDV8iGpyu'}]",https://p.scdn.co/mp3-preview/50a4ce42a40e69caa9ba78545ec6bc5f0605738f?cid=57daa17ab8e544dcab420c4b154c56d9
17,0rBMP6VVGRgwnzZCLpijyl,Canal St. (feat. Bones),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca'}, 'href': 'https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca', 'id': '13ubrt8QOOCPljQ2FL1Kca', 'name': 'A$AP Rocky', 'type': 'artist', 'uri': 'spotify:artist:13ubrt8QOOCPljQ2FL1Kca'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5v2WhpA59TJSdPh7LCx1lN'}, 'href': 'https://api.spotify.com/v1/artists/5v2WhpA59TJSdPh7LCx1lN', 'id': '5v2WhpA59TJSdPh7LCx1lN', 'name': 'BONES', 'type': 'artist', 'uri': 'spotify:artist:5v2WhpA59TJSdPh7LCx1lN'}]",https://p.scdn.co/mp3-preview/bc4c3f41e7b0dc36aa5358a7759bf8e3921b63e1?cid=57daa17ab8e544dcab420c4b154c56d9
