index,Genre,Track_Name,Track_ID,Preview_Link
8,blues,Stop!,3WFfqRoJhJeHIZzKdW5xXZ,https://p.scdn.co/mp3-preview/b1950e124eab6bfbab1b325db1cde85a171cccae?cid=6410be731bfd4cf798c0e6e9a32589fc
17,blues,Voodoo Child (Slight Return),1kY6OOTBmRNzhYmu9xSH3a,https://p.scdn.co/mp3-preview/42c7502b2853c5196588f156fcfc452fc4542d37?cid=6410be731bfd4cf798c0e6e9a32589fc
22,blues,Hear My Train a Comin',4DmBVImaIhE3RyNvbtZTTz,https://p.scdn.co/mp3-preview/3b0481919e0e8bc05ee22b661cf8de749c8956ed?cid=6410be731bfd4cf798c0e6e9a32589fc
25,blues,Love Struck Baby,7jxTdvTrVuqkuWwk0jXnVY,https://p.scdn.co/mp3-preview/1d61435ae48da5136a6ef73b8030045aeee8dfe8?cid=6410be731bfd4cf798c0e6e9a32589fc
27,blues,The Soul of a Man,49tStOPReWJrLvSJBbU2Io,https://p.scdn.co/mp3-preview/80db9d46a1667ea3576dad17a1ffa79405463d1d?cid=6410be731bfd4cf798c0e6e9a32589fc
30,blues,You Don't Know My Mind,3YwHkFhsCB9WARodNJcERE,https://p.scdn.co/mp3-preview/672c951768a6e9eabd3399e9eec94c9f875c6b65?cid=6410be731bfd4cf798c0e6e9a32589fc
35,blues,The House Is Rockin',5DUi0QVP5Lgm7lwVE0r9ZP,https://p.scdn.co/mp3-preview/984aeecdbb52ba394f128f838a96728e0fe45b06?cid=6410be731bfd4cf798c0e6e9a32589fc
40,blues,Dirty Pool,66mtQ5mRlw7ys2NJCkdJhz,https://p.scdn.co/mp3-preview/741c43b77fa059aba689e5d219fe8d4fe74552d9?cid=6410be731bfd4cf798c0e6e9a32589fc
41,blues,Ramblin' On My Mind,0D4XePeyNcXLjaj34Hq4LL,https://p.scdn.co/mp3-preview/323923dd00add830e3a374a166a69805936e8c0a?cid=6410be731bfd4cf798c0e6e9a32589fc
43,blues,I'd Rather Go Blind,6O3HIM5RjSoqKGSJUuj1tH,https://p.scdn.co/mp3-preview/504a190ad72d890bf171194d64fad769c513b328?cid=6410be731bfd4cf798c0e6e9a32589fc
44,blues,"Hallelujah, I Love Her So",5P11rW6aJErF37MTfRZS31,https://p.scdn.co/mp3-preview/3ab9138f2a244a110fdc5f8d8bc06492edac7ae4?cid=6410be731bfd4cf798c0e6e9a32589fc
49,blues,Candy Man,5Mhu2GJO0E8hBQauvUyS7q,https://p.scdn.co/mp3-preview/ab2436ae0c322f05f2bac27d028f4077ad99e806?cid=6410be731bfd4cf798c0e6e9a32589fc
51,blues,Ten Long Years,4CayREZylZ5ij94y1v0zlc,https://p.scdn.co/mp3-preview/998974d66aef53432a31e2f8cb7543c84dffa404?cid=6410be731bfd4cf798c0e6e9a32589fc
54,blues,Mess Around,7DJsL4jyXA39GDiHFQYQ0t,https://p.scdn.co/mp3-preview/39f4c8fcddca2044721ae2e1b6d0151211533f5e?cid=6410be731bfd4cf798c0e6e9a32589fc
55,blues,Look at Little Sister - 1984 Version,2qHqLhXW19b5tJ2COmbe6Y,https://p.scdn.co/mp3-preview/3cdd30cc89f84098685ddb784605171d638db14f?cid=6410be731bfd4cf798c0e6e9a32589fc
62,blues,Testify,74OpRjJrrCDj1IpvnYml0T,https://p.scdn.co/mp3-preview/664111acb1b05b67e8ec59277b3523c01865643e?cid=6410be731bfd4cf798c0e6e9a32589fc
65,blues,Red House,3PwKz7ML8VnNAp15OzIMWG,https://p.scdn.co/mp3-preview/0622347d471d067347729516ee8dea00177a25bd?cid=6410be731bfd4cf798c0e6e9a32589fc
67,blues,She Caught the Katy and Left Me a Mule to Ride,0c42JkNYZzZTNVWJvIuaRm,https://p.scdn.co/mp3-preview/3cbe130521bd383de38556e89efc6cfb75acdaa3?cid=6410be731bfd4cf798c0e6e9a32589fc
69,blues,I Can't Be Satisfied,4tkERD3dsIp0mdUEjPDzMT,https://p.scdn.co/mp3-preview/07f3c691a311637372a7985012332f35a9e704e7?cid=6410be731bfd4cf798c0e6e9a32589fc
