Genre,Track Name,Track ID,Preview_link
blues,Little Wing,1xk0nRNpACW4gWbX713Oig,https://p.scdn.co/mp3-preview/1057bff6618936667784637e5d5da1dd90ff0cc1?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Rollin' And Tumblin' - Pt. 1,3jljvI4Hwksjp6TStZCBEb,
blues,Lay Down Sally,7cO579OE7KlzJLTQ3Bh7pM,
blues,Whole Lotta’ Love,0WSQ5udSRjn3qSAMj2b0Yj,https://p.scdn.co/mp3-preview/bf0d09c664e0b72081797d246412038436d9a0df?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Be Careful With a Fool,3YGsgJqtIWKjMjZtKLk11Z,https://p.scdn.co/mp3-preview/7d095e62fd09e44d8ce5f998997d0b5c728df42b?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,No Particular Place To Go - Single Version,0cnn7HzqWw1FtY6HZQp0Ij,
blues,Voodoo Child (Slight Return),6d3I7THB2bONUkxOo1DvmZ,https://p.scdn.co/mp3-preview/99ff9aeb7277fae58d72af32fc3e1982ab4c1907?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Lenny,1MIDCw2NTW3Dtn9c6ohSC8,https://p.scdn.co/mp3-preview/4bd53ed55517fc2a529757c0c33fc9a78acc525d?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,I've Got a Woman,2xar08Fq5xra2KKZs5Bw9j,https://p.scdn.co/mp3-preview/8b2ea0e22da313c4f85246c48de604937f399c99?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,I Put a Spell on You (feat. Joss Stone),3Be7vJDOFNOVv3iYQgIQpu,https://p.scdn.co/mp3-preview/65232294713eb3d89abe0cd677f9f206db4c063a?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Got My Mojo Working - Live,3LkhowDvQ0ky3LQ5L6TLFk,https://p.scdn.co/mp3-preview/1a006b6421c7cb65aefdc09900ed38876dd8ae4d?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Dimples,6DLrAHrL7x84UJX4OGnOPU,
blues,Mary Had a Little Lamb,50yVEqOnLHtRTHWq3PWBuZ,
blues,They're Red Hot,1M6EwZf9SnMq0YQLvBtHQ0,
blues,Ain't No Sunshine featuring Tracy Chapman,1amH1FjaNDAaZVpHWzcztW,https://p.scdn.co/mp3-preview/b573924a6698f5cd6f772b57f6bb6782e37907a0?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Please Send Me Someone To Love,38gUElPlvL9GkZ4TsMyElq,
blues,The Red Rooster,3zZXYIdKiq0hjMWQ3oYMdC,
blues,Mannish Boy,2SpndxdGe05PZaJhLOEswg,
blues,Am I Right Or Wrong,7jIpPK4BiI2lJCSlG1yCUd,https://p.scdn.co/mp3-preview/7b176431dcfae9a619eebbcc59fc67f86830b6ee?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Lonesome,64lXgiDJciSTokb4MPJiuN,
blues,Hell Hound On My Trail,5xjG7nV5ncQAHkuifsz4v3,https://p.scdn.co/mp3-preview/18eac22fca0a14f47e6a013e9528292058c7b0cd?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Sloe Gin - Live From The Royal Albert Hall,5L776AnMdlt2SFntVhlZ4d,
blues,Bad To The Bone,6s0NHplywwr1IjnQpUpWJk,
blues,Every Morning,6WmwvYaVSod4whIXGWEvBR,https://p.scdn.co/mp3-preview/0a09fbffbe4964e7b72d6cb019a387eaae75c9c0?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,I'm Your Hoochie Coochie Man,4Eh2LpK2I86jhh4wdEkout,https://p.scdn.co/mp3-preview/b0758d0a6f2f11b585aaf3ddb350cc8ea94e22ab?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Built For Comfort,30D7yws1hPAgVAwhaKFggf,
blues,"Sweet Sixteen, Parts 1 & 2 - Live At The International Club",6wvDqqfvuHg6BYhvTc9Pg9,
blues,I Believe I'll Dust My Broom,2rYlQz7AFW6S45EjU5z4DS,
blues,Insane Asylum - Single Version,5xot7Gzh7ldBPQZaFZftaE,
blues,Call Me The Breeze,3aiJ7o0GqTP88GIep0cPag,
blues,Stay Around A Little Longer (feat. B.B. King),48z2rCxqFdlMejXthnbCkX,https://p.scdn.co/mp3-preview/da7cb0b44565fedea04054c5adc2f588c011baaf?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Gypsy Woman,1TCPTTMCbLlGWjiXSSrQWP,
blues,Scuttle Buttin',18PhtDBBYxE0vN4YvsZnMy,https://p.scdn.co/mp3-preview/e017ebce54e66801b2f1a3abf71f517d094b7623?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Early In The Morning,200NKBM3GwUA1TL8anMr4k,
blues,Help Me,0reXR4LnjbkmgJu5gNcF6t,
blues,While My Guitar Gently Weeps,1T94tcUfe2X74nriMCAWQa,https://p.scdn.co/mp3-preview/754f32b3df1cf7a69d3e999f97c6c969a2296014?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Rock Island Line,4ai4t0MVsdZVkCxLlotBZ2,
blues,Sugar Mama,0i5lT2LXWXrXuMkV5qaZ9J,
blues,"Running On Faith - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992",5rZN21XARJD7mKAd84vLCG,https://p.scdn.co/mp3-preview/25e6d9639d38f632ee1aa818c8d534aa8b13e23f?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Leaving Trunk,3E0VKSvZp76kvBU2WwwBul,https://p.scdn.co/mp3-preview/f8ebd8200d34a8aa0dc776d408c832f724eda5cd?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Feels Like Rain,4sX4ln3lTl91uc1YNmRSsI,
blues,Wham! - Live,2w8H64iCt5Hll80N4kVLgD,
blues,I Want to Be Loved #2,0H3mc9iS0WeA93bSE9kQB7,
blues,The Thrill Is Gone,5gEuWtxcn5Vz4xpT7dBoBU,
blues,Foxey Lady,1tsOB58QHINgc2FEJylsLP,https://p.scdn.co/mp3-preview/2123e0166970b15c7f9c3f7250c1d81f07fbcfce?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Started Out With Nothin,1vmag95aTfSqkAbjlmdAfb,
blues,Smokestack Lightnin',5qltuYpj0A5dJ31qCFtmo3,
blues,My Babe,4M3VwtxRWIlbWkdZ6ueSBG,
blues,When The Levee Breaks,6Ws3GKNOMs5hkGzhY9adlj,
blues,The Things (That) I Used to Do,6D3CM7JLJCpVQ48tGSCVCb,https://p.scdn.co/mp3-preview/2c733fddc28397dcbe042bb53faf8e07798e3caf?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,I've Got Dreams To Remember featuring John Mayer,71DcTTRfdZfLByBjaGpTcT,
