,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
0,acoustic,Sexual Healing,40kL0rQpgAULbZPHlO4qnS,52,-15.689,164.287,323000,0.24,10,0.0,0.105,0.497,0.445
1,acoustic,Jar of Hearts (feat. Tiffany Alvord),2XRlFYDk8WKDVXAn0HPoHq,0,-9.057,74.985,246133,0.253,5,0.0,0.0326,0.211,0.572
2,acoustic,Winter,4VuHWU01C36BUaN1adNi5M,52,-15.255,170.275,203773,0.214,4,0.000362,0.0366,0.404,0.258
3,acoustic,The Girl,2KHFNeIuubGY26Rkx0vYL0,0,-7.591,77.001,362107,0.541,10,4.45e-05,0.0432,0.175,0.31
4,acoustic,"Gone, Gone, Gone",20S0KRq4z2v2Utym0C246s,45,-5.961,118.002,209693,0.642,6,0.0,0.038,0.501,0.664
5,acoustic,Bridge,2Jfc5rXVXutC6TIxVEhi5o,36,-7.924,90.429,150522,0.36,6,0.0407,0.0244,0.437,0.598
6,acoustic,Another Love - Live from Spotify (SXSW),0rhJ30qQSus6Ckn3hKZ6Hr,52,-6.741,119.306,257267,0.586,4,0.0,0.0395,0.133,0.453
7,acoustic,Never Let You Go,4Mf6w0cowyBNcu2aoVC9GX,0,-4.856,103.164,264400,0.802,0,0.0,0.0373,0.62,0.66
8,acoustic,Call Me Maybe,2xdwjVFSTuTAkUm7Ppaamg,35,-8.832,109.9,158986,0.356,7,0.0,0.0319,0.463,0.605
9,acoustic,If It Means a Lot to You,6J7cSyvSCnPwv3vqHchEfL,68,-8.158,126.996,243227,0.536,10,0.0,0.0279,0.44,0.584
10,acoustic,Mirrors (feat. Fifth Harmony),6FVuzVYUdbPBJr6kuxgNGs,0,-7.177,77.041,292567,0.658,1,0.0,0.0419,0.702,0.563
11,acoustic,Ordinary People,58CrldAc1Z5WIBozT1NMJH,9,-14.001,67.011,281467,0.132,10,0.0,0.0807,0.36,0.469
12,acoustic,Orchard (feat. Tabitha Agnew),5zbWYefyOMRG5QdiwCSn4g,0,-7.659,152.329,212250,0.521,6,0.0282,0.0288,0.227,0.409
13,acoustic,First Day Of My Life,5OiaAaIMYlCZONyDBxqk4G,69,-17.024,94.422,188800,0.201,4,8.28e-05,0.0388,0.383,0.468
