Track_ID,Track_Name,Track_Artist,Preview_URL,Album
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,Nickelback,https://p.scdn.co/mp3-preview/bce58ffc6c70e0fcf2f2c0228f794743a07569ab?cid=08267e6d9cb548b181e3feb69f0b85f3,Silver Side Up
5uPYEStMW3KsXnnLV7iCTw,Johnny B. Goode - 2002 Remaster,Peter Tosh,https://p.scdn.co/mp3-preview/18c93830f1399f6ccf43cb28b80a85959d72642a?cid=08267e6d9cb548b181e3feb69f0b85f3,Mama Africa
4czopM9AcLjrH4IunzRoBg,Zungguzungguguzungguzeng,Yellowman,https://p.scdn.co/mp3-preview/ec7492b6606b7625d5fca12ad23b6785d030eee5?cid=08267e6d9cb548b181e3feb69f0b85f3,Most Wanted Series - Yellowman
1CLUtToY6V0jn79UPtf5VA,The One You Know,Alice In Chains,https://p.scdn.co/mp3-preview/3cf5760fef6e17567004ff8f54d559a30697b670?cid=08267e6d9cb548b181e3feb69f0b85f3,Rainier Fog
2f0P7iELCvAlV8j6Z3rGDE,Stranglehold,Ted Nugent,https://p.scdn.co/mp3-preview/0424c79f25eb29d13072c394fb6433532738ea32?cid=08267e6d9cb548b181e3feb69f0b85f3,Ted Nugent
64BbK9SFKH2jk86U3dGj2P,Otherside,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/3dfe48540e8c8b3a4b3434837952a3aa5b9291e9?cid=08267e6d9cb548b181e3feb69f0b85f3,Californication (Deluxe Edition)
5JkbyYRxPW7Wg1evBIVDmK,Chant a Psalm,Steel Pulse,https://p.scdn.co/mp3-preview/c35a00479c2018939beab69c8c96d7552d74892e?cid=08267e6d9cb548b181e3feb69f0b85f3,True Democracy
2WW8QbArFbEB3VUA6EZwWb,One More Night,Strictly The Best Vol. 40,https://p.scdn.co/mp3-preview/7f97865db1a87f251ec575e3f8ed78bb99a6268f?cid=08267e6d9cb548b181e3feb69f0b85f3,Overexposed (Deluxe)
2gRk5paar8fnT28Q6AsKTj,Meadow,Stone Temple Pilots,https://p.scdn.co/mp3-preview/9c496b197323d7b837456bb9aaba744c523d46cc?cid=08267e6d9cb548b181e3feb69f0b85f3,meadow
1vl5jVbo2INarbfx43KHjH,Cool and Calm,Israel Vibration,https://p.scdn.co/mp3-preview/2ec65dd65d2cfab2d1e2bf3e1ebfb83a3c775264?cid=08267e6d9cb548b181e3feb69f0b85f3,Strength of My Life
50UpQeRX0Pebo76v3AK6S1,Grey Goose,Carousel Kings,https://p.scdn.co/mp3-preview/3bb6f5860ed29732ad3213543ba92006d922fc68?cid=08267e6d9cb548b181e3feb69f0b85f3,Charm City
4Gw1SXoN1MlAmdM3J1NjmR,Found What I've Been Looking For,Tom Grennan,https://p.scdn.co/mp3-preview/2a971d278f1eaedc4e08022f471180b05c7ecb9d?cid=08267e6d9cb548b181e3feb69f0b85f3,Lighting Matches (Deluxe)
2w4EpqGasrz9qdTwocx54t,Open Arms,Journey,https://p.scdn.co/mp3-preview/cdba05161ad423f14cfed8dde4d602248f2454da?cid=08267e6d9cb548b181e3feb69f0b85f3,Escape
3oeicU1vhOHoySeNBhSUFv,Gyal Bruk Out,Alkaline,https://p.scdn.co/mp3-preview/af2ab26aeb7907581e41c10f79e902eda7a01753?cid=08267e6d9cb548b181e3feb69f0b85f3,Alkaline Mix Tape
5SehvGGC53A7SZKCLXQcyt,Nico and the Niners,Twenty One Pilots,https://p.scdn.co/mp3-preview/68f0ee687aa4830c067eb90bb404961af459f530?cid=08267e6d9cb548b181e3feb69f0b85f3,Trench
0snQkGI5qnAmohLE7jTsTn,Toxicity,System Of A Down,https://p.scdn.co/mp3-preview/89e93c71655e81579d011e4521f7b6e9db173834?cid=08267e6d9cb548b181e3feb69f0b85f3,Toxicity
3879mOevyI1RNKonloSaz0,Lioness On The Rise,Queen Ifrica,https://p.scdn.co/mp3-preview/647f3942bc544fd9c735ae23b46eb7132caf82dc?cid=08267e6d9cb548b181e3feb69f0b85f3,Road To Mobay
4yf5YQEy4sfkRtfuNVLPJ6,I Am Blessed,Mr. Vegas,https://p.scdn.co/mp3-preview/ad218223b4f6cef484a2714f34c36cd940360cbc?cid=08267e6d9cb548b181e3feb69f0b85f3,I Am Blessed
44wXefe8WB9Fd6xwtmAwbR,Monkey Wrench,Foo Fighters,https://p.scdn.co/mp3-preview/7f98be705f7db05e0c3e291d80bb158124983232?cid=08267e6d9cb548b181e3feb69f0b85f3,The Colour And The Shape
1OR5HVQgKpCZn2JNIwTKmq,Rude Boy,Dub Inc.,https://p.scdn.co/mp3-preview/d3557b8a91946d48bab878f43e288e9a25c7381b?cid=08267e6d9cb548b181e3feb69f0b85f3,Rated R
5Z5nbOXhsSbySVC7WUc6y9,Four Out Of Five,Arctic Monkeys,https://p.scdn.co/mp3-preview/50649285856b2324b33046c6b1e03172ee90e808?cid=08267e6d9cb548b181e3feb69f0b85f3,Tranquility Base Hotel & Casino
63KyUtr8jbXnuI7e7XRpjq,Lucky One (feat. K.Flay),Tom Morello,https://p.scdn.co/mp3-preview/9b97accc3f0b784fce5452d62d1957016243d5af?cid=08267e6d9cb548b181e3feb69f0b85f3,The Atlas Underground
1UOhKnE2fZJuGdB7ssn9nf,Herbalist,Alborosie,https://p.scdn.co/mp3-preview/0a8a885a27bd773893519ebd6926be68ec18de22?cid=08267e6d9cb548b181e3feb69f0b85f3,Soul Pirate
0m9xl23pyUMGrxwP1YdSe2,Taipei Person / Allah Tea,Stone Sour,https://p.scdn.co/mp3-preview/0c3ac977982888101b449352f5dd7d7c5ac2ce71?cid=08267e6d9cb548b181e3feb69f0b85f3,Hydrograd
0yTJtxZJ5VLfBEHhiNUNeY,Silvertongue,Young the Giant,https://p.scdn.co/mp3-preview/30cb1754607b7940fd845750c6793fd990464163?cid=08267e6d9cb548b181e3feb69f0b85f3,Home of the Strange
0cSkIGgh1uICEIcmEb1niw,Rasta Love Feat. Ky-Mani Marley,Protoje,https://p.scdn.co/mp3-preview/3c86940874cbb7327f725c91011cb6b5dd23e520?cid=08267e6d9cb548b181e3feb69f0b85f3,The Seven Year Itch
6RJdYpFQwLyNfDc5FbjkgV,Stricken,Disturbed,https://p.scdn.co/mp3-preview/b9f5206810d127442c4b5d4f2d9c9dd2027a082d?cid=08267e6d9cb548b181e3feb69f0b85f3,Ten Thousand Fists
4YyOPaXcxCmpv3c7SQUo5e,Raining,The Front Bottoms,https://p.scdn.co/mp3-preview/170344970c47488cc22abb9f9da515369ae869f4?cid=08267e6d9cb548b181e3feb69f0b85f3,Raining At Last
39knzsFcBOEpv7dSGrIilV,Intoxication,Gentleman,https://p.scdn.co/mp3-preview/5866d55b3cf83ea6f1e2e33812f6db34161fab1b?cid=08267e6d9cb548b181e3feb69f0b85f3,Believe
16XeptMdlJTWWeIrwEAOvv,Old Man - 2009 Remaster,Neil Young,https://p.scdn.co/mp3-preview/333fbf428fef25374d89cb2904ed224696c96728?cid=08267e6d9cb548b181e3feb69f0b85f3,Harvest (2009 Remaster)
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,The Clash,https://p.scdn.co/mp3-preview/670a419f7cb549ef6d3d7f9c5060ac6b8c112fa4?cid=08267e6d9cb548b181e3feb69f0b85f3,Combat Rock (Remastered)
0pxcNdPoPlfGrf2rwIgiBy,Criminal,Protoje,https://p.scdn.co/mp3-preview/a5e5d1238b11871687b15de357263eb2edff50a7?cid=08267e6d9cb548b181e3feb69f0b85f3,Criminal
66hOCG7IpEJI5wfLDhajxD,Last Young Renegade,All Time Low,https://p.scdn.co/mp3-preview/d29b54667e2683db77bedbfda9027702653eebb2?cid=08267e6d9cb548b181e3feb69f0b85f3,Last Young Renegade
2eOlCbpQQIy6aRNHV9hg3o,"What a Feeling - From ""Flashdance""",The Sailors,https://p.scdn.co/mp3-preview/b21b769ae9f092fe6e1d675d9333009e0aeacea6?cid=08267e6d9cb548b181e3feb69f0b85f3,Old But Gold 80's
6Bpq3eILwWDjK4nK9qtwPv,Smoke My Herbz,Various Artists,https://p.scdn.co/mp3-preview/2e08864bd6adfd5ec7599c8cf33a10cf23343301?cid=08267e6d9cb548b181e3feb69f0b85f3,Ganja Anthems
3Gym3Rtm6FHpTrLlJTcz3j,World A Reggae Music,Anthony B,https://p.scdn.co/mp3-preview/97ff2073f5008bd378e52af9eceec6a2254c7150?cid=08267e6d9cb548b181e3feb69f0b85f3,16 Vibes
5fEdhl7z32TMambRUvGShQ,August Town,Duane Stephenson,https://p.scdn.co/mp3-preview/ef90d290c771df1897994339675fbcbf03a9bbd8?cid=08267e6d9cb548b181e3feb69f0b85f3,From August Town
67L36FEtnci1yguR5s514G,Amputation,The Jesus and Mary Chain,https://p.scdn.co/mp3-preview/b142490f9b55606632016d09b6b84a1e2e3a4d32?cid=08267e6d9cb548b181e3feb69f0b85f3,Damage and Joy
5hAOJvfhTB07VcFhno9EY1,If Love So Nice,Various Artists,https://p.scdn.co/mp3-preview/e0ee41322e8e3c7f067685cc71c360d7d43b83e0?cid=08267e6d9cb548b181e3feb69f0b85f3,Reggea Hits Vol. 26
0ADZ5dmXhlfzjMw6lefoPl,Far Away,Nickelback,https://p.scdn.co/mp3-preview/ee5ef1ff3c6c82863e00c2f29775d16af8c22b37?cid=08267e6d9cb548b181e3feb69f0b85f3,All the Right Reasons
5h27GYpKZWWhFov8fOunF6,What Went Down,Foals,https://p.scdn.co/mp3-preview/96767c9c15c78605741a3907c5d20ae0ef57b234?cid=08267e6d9cb548b181e3feb69f0b85f3,What Went Down
2JCv3LADgWrOcJoOa0so6m,Where's the Revolution,Depeche Mode,https://p.scdn.co/mp3-preview/2a81fa73a7814fa346faadd0845fc597ef169cc8?cid=08267e6d9cb548b181e3feb69f0b85f3,Where's the Revolution
