Track_ID,Track_Name,Track_Artist,Preview_URL,Genre,Album
7vidktgNZFQylTgH1GEnMs,Cold as Ice,Foreigner,https://p.scdn.co/mp3-preview/cf18b5451f250c4a2f6bc8dbb720f2aa164cffa9?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Foreigner (Expanded)
6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,Motörhead,https://p.scdn.co/mp3-preview/34cf36a576042c34fa6dee1a6c9da3dec4e54d62?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Ace of Spades (Expanded Edition)
1RTk31cNoWdx1HBRbkc02a,The Rover,Interpol,https://p.scdn.co/mp3-preview/883269cf81dacf375bb3a49ebe3a5ecf92dd8b15?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Physical Graffiti (1994 Remaster)
6gPd6brcBXlbGdy1obe234,Time of Dying,Three Days Grace,https://p.scdn.co/mp3-preview/d2da079180cf8de8d90982c820de59c15fe207ee?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,One-X
2VN7uPrbryJ7nE2MXX3f9a,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,https://p.scdn.co/mp3-preview/395aa2e68eb3cd4884d8a9acec4656a781a98405?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Survivor Greatest Hits
6DmfWj5kOa1fX8AwN9byOn,L.A. Woman,The Doors,https://p.scdn.co/mp3-preview/10a370a3344827fcea10d80acffcb7b7c9de8901?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,L.A. Woman
0NSqYlz5V1u6l68r1pzUPn,Better Off Without You,Mallory Knox,https://p.scdn.co/mp3-preview/9241a155dc461ca12eca82cc01879ed48fd124eb?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Better Off Without You (feat. Shift K3Y)
1X4Ntw6Lbaa1ACgilCqMpr,Alive - Chris Lord-Alge Mix,P.O.D.,https://p.scdn.co/mp3-preview/c3564adb4b6c07a51767b2d339f1bf512269ade5?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Satellite (U.S. Version; WEA Distribution)
25GC50HslaaruyrKjdu0lP,Your Betrayal,Bullet For My Valentine,https://p.scdn.co/mp3-preview/eb4c6aceba3d96af7c00ceaf36dedb64c861b8d6?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Fever
5jsDxDkJ1PqyYUWhDMr86B,Song #3,Stone Sour,https://p.scdn.co/mp3-preview/8007adb1bfba236b2f4ad8f01a92a3dbe5f32880?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Hydrograd
6kooDsorCpWVMGc994XjWN,Black Betty,Ram Jam,https://p.scdn.co/mp3-preview/b0ee32513a51cc1f20f081af272e1b69b5be22b5?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,The Very Best Of Ram Jam
7yoBjKO6cCnK3zV8gr1k4e,Lydia,Highly Suspect,https://p.scdn.co/mp3-preview/50d1695a0a50102b76be0fab03c2abe1174433fd?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Mister Asylum
5e3YOg6fIkP0wD5TyxcHOH,Cult of Personality,Living Colour,https://p.scdn.co/mp3-preview/4e3121903a17eb8fce2604ce9aab762028aa4413?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Vivid (Expanded Edition)
2ouOVzQTzSsLa2OH1Zxhvu,Whatever It Takes,Hollywood Undead,https://p.scdn.co/mp3-preview/14383462c0bbe0f555f507cf0ae980890bb288b9?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Evolve
0NWPxcsf5vdjdiFUI8NgkP,Hey Joe,Jimi Hendrix,https://p.scdn.co/mp3-preview/28fc8b1b9826ddc224d26b4df661fb79f1b94351?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Are You Experienced
