,Unnamed: 0,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability,code
0,0,acoustic,Sexual Healing,40kL0rQpgAULbZPHlO4qnS,52,-15.689,164.287,323000,0.24,10,0.0,0.105,0.49700000000000005,0.445,45
1,1,acoustic,Jar of Hearts (feat. Tiffany Alvord),2XRlFYDk8WKDVXAn0HPoHq,0,-9.057,74.985,246133,0.253,5,0.0,0.0326,0.21100000000000002,0.5720000000000001,45
2,2,acoustic,Winter,4VuHWU01C36BUaN1adNi5M,52,-15.255,170.275,203773,0.214,4,0.000362,0.0366,0.40399999999999997,0.258,45
3,3,acoustic,The Girl,2KHFNeIuubGY26Rkx0vYL0,0,-7.591,77.001,362107,0.541,10,4.45e-05,0.0432,0.175,0.31,45
4,4,acoustic,"Gone, Gone, Gone",20S0KRq4z2v2Utym0C246s,45,-5.961,118.00200000000001,209693,0.642,6,0.0,0.038,0.501,0.664,45
5,5,acoustic,Bridge,2Jfc5rXVXutC6TIxVEhi5o,36,-7.9239999999999995,90.429,150522,0.36,6,0.0407,0.0244,0.43700000000000006,0.598,45
6,6,acoustic,Another Love - Live from Spotify (SXSW),0rhJ30qQSus6Ckn3hKZ6Hr,52,-6.7410000000000005,119.306,257267,0.586,4,0.0,0.0395,0.133,0.45299999999999996,45
7,7,acoustic,Never Let You Go,4Mf6w0cowyBNcu2aoVC9GX,0,-4.856,103.164,264400,0.802,0,0.0,0.0373,0.62,0.66,45
8,8,acoustic,Call Me Maybe,2xdwjVFSTuTAkUm7Ppaamg,35,-8.832,109.9,158986,0.35600000000000004,7,0.0,0.0319,0.46299999999999997,0.605,45
9,9,acoustic,If It Means a Lot to You,6J7cSyvSCnPwv3vqHchEfL,68,-8.158,126.99600000000001,243227,0.536,10,0.0,0.0279,0.44,0.584,45
10,10,acoustic,Mirrors (feat. Fifth Harmony),6FVuzVYUdbPBJr6kuxgNGs,0,-7.1770000000000005,77.041,292567,0.6579999999999999,1,0.0,0.0419,0.7020000000000001,0.563,45
11,11,acoustic,Ordinary People,58CrldAc1Z5WIBozT1NMJH,9,-14.001,67.01100000000001,281467,0.132,10,0.0,0.0807,0.36,0.469,45
12,12,acoustic,Orchard (feat. Tabitha Agnew),5zbWYefyOMRG5QdiwCSn4g,0,-7.659,152.329,212250,0.521,6,0.0282,0.0288,0.22699999999999998,0.409,45
13,13,acoustic,First Day Of My Life,5OiaAaIMYlCZONyDBxqk4G,69,-17.024,94.42200000000001,188800,0.201,4,8.28e-05,0.0388,0.38299999999999995,0.46799999999999997,45
14,14,acoustic,Only Girl (In The World) (feat. Alex Goot),3ohNs5SYgwCjnxl8QSjqvR,0,-9.538,118.094,237849,0.56,11,0.0,0.0341,0.467,0.7190000000000001,45
15,15,acoustic,Thank You,3yUcJwYu7fXAfqMj9krY6l,68,-9.942,79.984,218360,0.583,1,0.000215,0.0424,0.765,0.725,45
16,16,acoustic,Bang Bang - My Baby Shot Me Down,1s2I9Q7zAE78m7aVZOq3ug,58,-22.644000000000002,186.46,160440,0.12,5,0.0963,0.0514,0.382,0.35600000000000004,45
17,17,acoustic,Safe & Sound - from The Hunger Games Soundtrack,0z9UVN8VBHJ9HdfYsOuuNf,66,-10.807,144.317,240067,0.3,7,1.04e-05,0.027999999999999997,0.289,0.47200000000000003,45
18,18,acoustic,Banana Pancakes,451GvHwY99NKV4zdKPRWmv,70,-8.052999999999999,114.303,191907,0.375,7,8.66e-06,0.0996,0.615,0.816,45
19,19,acoustic,Chariot - Stripped Version,4wYIQRvu7JpP3h2v5o1IOe,43,-9.807,128.171,299307,0.374,7,0.0,0.0353,0.207,0.48,45
20,20,acoustic,Don't Stop Believin',71Qc66ucEtfXYUj6U2it9l,0,-9.731,113.87200000000001,256160,0.23399999999999999,7,0.0,0.0299,0.302,0.424,45
21,21,acoustic,Girl On Fire,6qOEjO2IUD7PjtpsXawq0d,5,-5.7620000000000005,92.494,224920,0.706,9,0.00106,0.0609,0.14400000000000002,0.48200000000000004,45
22,22,acoustic,Tears in Heaven,7utRJ4BeYx85khzP3lKoBX,62,-12.238,153.744,271760,0.242,9,0.536,0.0257,0.312,0.498,45
23,23,acoustic,Slow It Down,574GJ55EBM79W6n2V5bL5z,0,-14.42,142.436,307000,0.064,1,0.0,0.0374,0.10800000000000001,0.428,45
24,24,acoustic,Kids,3Dy8QVSgVB3qNw9Xtc2Jjw,38,-7.393,115.945,235862,0.763,9,2.22e-05,0.0364,0.348,0.67,45
25,25,acoustic,Poison & Wine,3wsZYuHJrk3lssa7V7jvye,57,-12.729000000000001,153.84799999999998,219467,0.18600000000000003,1,7.3e-05,0.0288,0.203,0.285,45
